row_id,report_date,client_id,platform,campaign_id,campaign_name,impressions,clicks,spend,conversions,currency
sn-co-00001,2026-07-01,contoso_travel,snapchat_ads,SN9200,CT_Summer_Sun_EU,151352,2985,306.76,145,EUR
sn-co-00002,2026-07-01,contoso_travel,snapchat_ads,SN8169,CT_CityBreaks_EU,84002,1373,1460.30,85,EUR
sn-co-00003,2026-07-01,contoso_travel,snapchat_ads,SN3250,CT_Loyalty_EU,96012,1336,1488.98,48,EUR
sn-co-00004,2026-07-02,contoso_travel,snapchat_ads,SN9200,CT_Summer_Sun_EU,113863,3137,1636.69,104,EUR
sn-co-00005,2026-07-02,contoso_travel,snapchat_ads,SN8169,CT_CityBreaks_EU,57973,1182,1021.16,77,EUR
sn-co-00006,2026-07-02,contoso_travel,snapchat_ads,SN3250,CT_Loyalty_EU,145125,1993,378.05,70,EUR
sn-co-00007,2026-07-03,contoso_travel,snapchat_ads,SN9200,CT_Summer_Sun_EU,121881,2860,1524.63,122,EUR
sn-co-00008,2026-07-03,contoso_travel,snapchat_ads,SN8169,CT_CityBreaks_EU,93203,836,758.28,23,EUR
sn-co-00009,2026-07-03,contoso_travel,snapchat_ads,SN3250,CT_Loyalty_EU,125894,2955,910.48,151,EUR
sn-co-00010,2026-07-04,contoso_travel,snapchat_ads,SN9200,CT_Summer_Sun_EU,101155,1918,1376.56,124,EUR
sn-co-00011,2026-07-04,contoso_travel,snapchat_ads,SN8169,CT_CityBreaks_EU,123017,1717,1769.04,114,EUR
sn-co-00012,2026-07-04,contoso_travel,snapchat_ads,SN3250,CT_Loyalty_EU,28671,730,879.63,29,EUR
sn-co-00013,2026-07-05,contoso_travel,snapchat_ads,SN9200,CT_Summer_Sun_EU,50939,1713,471.31,79,EUR
sn-co-00014,2026-07-05,contoso_travel,snapchat_ads,SN8169,CT_CityBreaks_EU,123864,868,354.21,49,EUR
sn-co-00015,2026-07-05,contoso_travel,snapchat_ads,SN3250,CT_Loyalty_EU,105030,1733,1721.67,20,EUR
sn-co-00016,2026-07-06,contoso_travel,snapchat_ads,SN9200,CT_Summer_Sun_EU,49222,1264,1720.68,40,EUR
sn-co-00017,2026-07-06,contoso_travel,snapchat_ads,SN8169,CT_CityBreaks_EU,29155,660,1070.66,22,EUR
sn-co-00018,2026-07-06,contoso_travel,snapchat_ads,SN3250,CT_Loyalty_EU,82056,1086,425.85,58,EUR
sn-co-00019,2026-07-07,contoso_travel,snapchat_ads,SN9200,CT_Summer_Sun_EU,139821,2938,1665.99,50,EUR
sn-co-00020,2026-07-07,contoso_travel,snapchat_ads,SN8169,CT_CityBreaks_EU,77233,2040,582.58,95,EUR
sn-co-00021,2026-07-07,contoso_travel,snapchat_ads,SN3250,CT_Loyalty_EU,137765,1626,460.38,23,EUR
