row_id,report_date,client_id,platform,campaign_id,campaign_name,impressions,clicks,spend,conversions,currency
sn-co-00022,2026-07-08,contoso_travel,snapchat_ads,SN9200,CT_Summer_Sun_EU,54260,1739,939.92,26,EUR
sn-co-00023,2026-07-08,contoso_travel,snapchat_ads,SN8169,CT_CityBreaks_EU,92778,2353,1349.79,101,EUR
sn-co-00024,2026-07-08,contoso_travel,snapchat_ads,SN3250,CT_Loyalty_EU,85116,2710,1569.61,142,EUR
sn-co-00025,2026-07-09,contoso_travel,snapchat_ads,SN9200,CT_Summer_Sun_EU,54636,1585,1038.57,27,EUR
sn-co-00026,2026-07-09,contoso_travel,snapchat_ads,SN8169,CT_CityBreaks_EU,61685,1787,616.94,70,EUR
sn-co-00027,2026-07-09,contoso_travel,snapchat_ads,SN3250,CT_Loyalty_EU,103606,2286,821.81,133,EUR
sn-co-00028,2026-07-10,contoso_travel,snapchat_ads,SN9200,CT_Summer_Sun_EU,153610,1499,1620.58,20,EUR
sn-co-00029,2026-07-10,contoso_travel,snapchat_ads,SN8169,CT_CityBreaks_EU,113375,3966,1364.25,164,EUR
sn-co-00030,2026-07-10,contoso_travel,snapchat_ads,SN3250,CT_Loyalty_EU,116330,3475,364.31,237,EUR
sn-co-00031,2026-07-11,contoso_travel,snapchat_ads,SN9200,CT_Summer_Sun_EU,28441,541,1304.17,16,EUR
sn-co-00032,2026-07-11,contoso_travel,snapchat_ads,SN8169,CT_CityBreaks_EU,153520,3769,532.04,256,EUR
sn-co-00033,2026-07-11,contoso_travel,snapchat_ads,SN3250,CT_Loyalty_EU,122408,2519,1595.73,150,EUR
sn-co-00034,2026-07-12,contoso_travel,snapchat_ads,SN9200,CT_Summer_Sun_EU,144817,1511,505.22,44,EUR
sn-co-00035,2026-07-12,contoso_travel,snapchat_ads,SN8169,CT_CityBreaks_EU,68105,1092,1708.40,69,EUR
sn-co-00036,2026-07-12,contoso_travel,snapchat_ads,SN3250,CT_Loyalty_EU,29672,393,1234.34,16,EUR
sn-co-00037,2026-07-13,contoso_travel,snapchat_ads,SN9200,CT_Summer_Sun_EU,41812,1008,1202.36,15,EUR
sn-co-00038,2026-07-13,contoso_travel,snapchat_ads,SN8169,CT_CityBreaks_EU,53206,1232,1150.00,24,EUR
sn-co-00039,2026-07-13,contoso_travel,snapchat_ads,SN3250,CT_Loyalty_EU,97504,2967,1123.61,176,EUR
sn-co-00040,2026-07-14,contoso_travel,snapchat_ads,SN9200,CT_Summer_Sun_EU,16437,137,1720.25,7,EUR
sn-co-00041,2026-07-14,contoso_travel,snapchat_ads,SN8169,CT_CityBreaks_EU,78377,1950,1438.79,68,EUR
sn-co-00042,2026-07-14,contoso_travel,snapchat_ads,SN3250,CT_Loyalty_EU,16939,346,1222.10,9,EUR
